PERMNO,date,PRC
60716,1976-08-11,-15.62500
60716,1976-08-12,-15.62500
60716,1976-08-13,-15.62500
60716,1976-08-16,-15.37500
60716,1976-08-17,-15.62500
60716,1976-08-18,-15.62500
60716,1976-08-19,-14.87500
60716,1976-08-20,-14.87500
60716,1976-08-23,-14.12500
60716,1976-08-24,-14.37500
60716,1976-08-25,-14.62500
60716,1976-08-26,-13.87500
60716,1976-08-27,-13.62500
60716,1976-08-30,-13.87500
60716,1976-08-31,-14.37500
60716,1976-09-01,-14.87500
60716,1976-09-02,-14.62500
60716,1976-09-03,-14.62500
60716,1976-09-07,-14.62500
60716,1976-09-08,-14.62500
60716,1976-09-09,-14.12500
60716,1976-09-10,-14.37500
60716,1976-09-13,-14.12500
60716,1976-09-14,-14.37500
60716,1976-09-15,-14.87500
60716,1976-09-16,-15.12500
60716,1976-09-17,-15.12500
60716,1976-09-20,-15.37500
60716,1976-09-21,-15.37500
60716,1976-09-22,-15.12500
60716,1976-09-23,-15.37500
60716,1976-09-24,-15.12500
60716,1976-09-27,-14.87500
60716,1976-09-28,-14.12500
60716,1976-09-29,-14.12500
60716,1976-09-30,-13.62500
60716,1976-10-01,-13.37500
60716,1976-10-04,-12.87500
60716,1976-10-05,-12.87500
60716,1976-10-06,-13.12500
60716,1976-10-07,-13.62500
60716,1976-10-08,-13.62500
60716,1976-10-11,-13.12500
60716,1976-10-12,-12.87500
60716,1976-10-13,-13.37500
60716,1976-10-14,-13.12500
60716,1976-10-15,-13.37500
60716,1976-10-18,-13.37500
